7-Eleven	7 eleven
soumitra	xu mi tra
sumitomo	xu mi tô mô
shuman	xu mần
sunan	xu nan
sunita	xu ni ta
sunio	xu ni ô
sunilduth	xu nin đút
suneung	xu nâng
suwalki	xu oăn ki
suwannasang	xu oăn na xang
supachalasai	xu pa cha la xai
suphachalasai	xu pha cha la xai
soufan	xu phan
superior	xu pi ri ơ
supranational	xu pra na xần nồ
supunpasuch	xu pun pa xút
supergirl	xu pơ gơ
superhero	xu pơ hi rô
supermama	xu pơ ma ma
superman	xu pơ mần
superwatchman	xu pơ oát chờ mần
super-featherweight	xu pơ phê đơ uết
supersport	xu pơ xpọt
superdong	xu pơ đông
surabaya	xu ra ba ya
surasri	xu ra xri
surau	xu rau
suri	xu ri
surinam	xu ri nam
surat	xu rát
sushi	xu si
sutheewong	xu thi oông
sutherland	xu thơ lần
suwon	xu uôn
suvarna	xu vác na
soussa	xu xa
shusen	xu xen
susukino	xu xu ki nô
sousa	xu za
suzuki	xu zu ki
sweni	xu ê ni
sudani	xu đa ni
sudico	xu đi cô
sudan	xu đăng
syrtash	xua tát
sumsko	xum xcô
shunga	xun ga
sun-nam	xun nam
sulfide	xun phai
sulfikar	xun phi ca
sulfua	xun phu a
sulfat	xun phát
sulforaphane	xun phô ra phên
sultan	xun tần
shunsuke	xun xu kê
sundar	xun đa
sundarban	xun đa ban
sungei	xung ghê
sunghai	xung hai
sungkyunkwan	xung ky un quan
sung-lac	xung lắc
sung-yueng	xung yu âng
swing	xuy inh
sweetyhigh	xuy ti hai
swinburne	xuyn bơn
xuanchia	xuân chia
chunmei	xuân mai
swifthay	xuýp hay
swiftra	xuýp ra
swifties	xuýp ti
switchblade	xuýt blết
sweetzer	xuýt zo
xueli	xuết li
sweatshirt	xuết sớt
svalbard	xva bát
svyatoshyn	xvi a tô xin
cyanide	xy a nua
cytokine	xy tô kin
saigon	xài gòn
sarco	xác cô
sarcoma	xác cô ma
sargasso	xác gát xô
sarkis	xác kít
sharman	xác mần
sexual	xác su ơ bờ
sartoria	xác tô ri a
sardina	xác đi na
sardinia	xác đi ni a
chardin	xác đin
sardegna	xác đê nha
shanshan	xán xán
saffron	xáp phờ rần
sapporo	xáp pô rô
sasco	xát cô
sadkin	xát kin
sarnadi	xát na đi
sustainable	xát tên nơ bờ
shattering	xát tơ ring
satterthwaite	xát tơ thua
satsuki	xát xu ki
sasson	xát xơn
sussex	xát xếch
satsop	xát xốp
saddington	xát đinh tần
sabre	xây bơ
seikan	xây can
seyni	xây ni
seismological	xây xmô lô gi cần
sayyari	xây ya ri
seydou	xây đu
cerberus	xéc be rớt
serbia	xéc bi a
cercle	xéc clơ
sergej	xéc ghê
sergeevka	xéc ghê ép ca
sergio	xéc gi ô
serge	xéc giơ
sergray	xéc gray
sergo	xéc gô
serhey	xéc hây
secretary	xéc rê ta ri
shefler	xép phlơ
sheppard	xép pát
septian	xép ti an
cessna	xét na
set-point	xét poin
sessions	xét xần
setup	xét ắp
sebia	xê bi a
cebu	xê bu
shehbaz	xê bát
sebastien	xê bát ti ên
sebastian	xê bát ti ần
sekuritas	xê cu ri tát
seko	xê cô
second	xê cần
secondhand	xê cần hèn
secondary	xê cần đa ri
sehgal	xê gan
segye	xê ghi
seghir	xê ghia
szegedy	xê ghê đi
seija	xê gia
sejong	xê giông
chr	xê ha rờ
sehyun	xê hi un
seiji	xê i gi
shein	xê in
sekhon	xê khôn
shekhovtsova	xê khốp txô va
seikei	xê ki
sekong	xê kông
celadon	xê la đôn
selango	xê lan gô
sherly	xê li
celia	xê li a
selim	xê lim
celine	xê lin
celebrity	xê lê brê ti
celebration	xê lê brê xần
selena	xê lê na
selenite	xê lê nait
selenium	xê lê ni um
selen	xê lên
select	xê lếch
celestial	xê lếch ti ần
selected	xê lếch tịt
selection	xê lếch xần
celebrities	xê lếp bri ti
celebmafia	xê lếp ma phi a
celebwatchspotter	xê lếp oát chờ xpốt tơ
celesta	xê lết ta
semakau	xê ma cau
cemani	xê ma ni
semafor	xê ma pho
saemaul-undong	xê mau un đông
semicon	xê mi con
semiconductor	xê mi con đắc tơ
seminole	xê mi nôn
semitic	xê mi tích
semyonovka	xê mi ô nốp ca
semirdzhyan	xê mia zi ần
shaming	xê minh
semoi	xê môi
senamuang	xê na mu ang
shenandoah	xê nan đô
senegal	xê nê gan
seno	xê nô
sepaku	xê pa cu
cephalin	xê pha lin
cephalopoda	xê pha lô pô đa
sheffield	xê phiêu
safe	xê phu
schaefer	xê phơ
safenet	xê phơ nét
shaping	xê pinh
sepulveda	xê pun vê đa
sequin	xê quin
sequoia	xê quoi a
ceramide	xê ra mai
serafini	xê ra phi ni
sheraton	xê ra tần
seraina	xê rai na
serengeti	xê ren ghê ti
serenity	xê ren ni ti
ceria	xê ri a
sherida	xê ri đa
sheridan	xê ri đần
sheringham	xê rinh hầm
caerulea	xê ru li a
serum	xê rum
ceres	xê rét
serena	xê rê na
seretonin	xê rê tô nin
cerezo	xê rê zô
cerro	xê rô
serotonin	xê rô tô nin
serre	xê rơ
svetakov	xê ta cốp
sethi	xê thi
ceton	xê tôn
setos	xê tốt
seoul	xê un
sewol	xê uôn
sevy	xê vi
sevilla	xê vi la
seville	xê vi lơ
saving	xê vinh
sevastopol	xê vát tô pôn
severodvinsk	xê vê rô vin xcơ
saver	xê vơ
several	xê vơ rần
sevencho	xê vần cho
seven-li	xê vần li
sevensinh	xê vần sinh
cecilia	xê xi li a
cecile	xê xin
shake	xê y kơ
cesar	xê za
cesium	xê zi um
seoposenwe	xê ô pô xen uê
seo-yoon	xê ô yun
seoi	xê ôi
seda	xê đa
sedaghat	xê đa gát
sedan	xê đan
cedella	xê đen la
sediment	xê đi mần
cedric	xê đrích
shedet	xê đét
sedova	xê đô va
shayk	xê ếch
salesforce	xêu pho
saildrone	xêu đrôn
pseudomonas	xêu đô mô nát
secrets	xí crết
systems	xí xtầm
seeding	xí đinh
sixcho	xích cho
secret	xích crét
cisco	xích cô
sickla	xích la
sigma	xích ma
sigmodon	xích mô đôn
signature	xích nê chờ
sixthone	xích oan
silkroad	xích rốt
sixthtone	xích tôn
schiffer	xíp phơ
chiffon	xíp phần
shipping	xíp pinh
cyprus	xíp pre
cypraea	xíp pre a
shipper	xíp pơ
sit-com	xít com
sitthi	xít thi
sistina	xít ti na
sittipunt	xít ti pun
sistine	xít tin
sitters	xít tơ
system	xít tầm
cisse	xít xê
socket	xóc kết
shop-living	xóp li vinh
soppy	xóp pi
shopping	xóp pinh
shoppertainment	xóp pơ tên mần
soba	xô ba
sobyanin	xô bi a nin
schobinger	xô bin giơ
soberano	xô bê ra nô
sobek	xô bếch
szoboszlai	xô bốt lai
soka	xô ca
shokado	xô ca đô
socrates	xô cra tết
shoku	xô cu
socola	xô cô la
sokolova	xô cô lô va
socotra	xô cô tra
schoellhorn	xô en hôn
shoji	xô gi
shogun	xô gun
sohee	xô hi
shohin	xô hin
sohu	xô hu
so-hyun	xô hyun
solhekol	xô hê cô
soho	xô hô
sohonwit	xô hôn uýt
sokha	xô kha
sokhi	xô khi
sokhom	xô khôm
sokhonn	xô khôn
solana	xô la na
solani	xô la ni
solari	xô la ri
solarix	xô la rích
soladio	xô la đi ô
sholi	xô li
soliman	xô li mần
soluto	xô lu tô
solera	xô lê ra
solo	xô lô
solomianskyi	xô lô mi an xcơ
solomon	xô lô môn
solon	xô lôn
scholes	xô lơ
somalia	xô ma li
somina	xô mi na
showman	xô mần
sonar	xô na
sonali	xô na li
sonata	xô na ta
sonasea	xô na xi
sonet	xô nét
sonora	xô nô ra
sonoran	xô nô rần
showed	xô oen
sofa	xô pha
sophoan	xô phan
sophay	xô phay
sophie	xô phi
sofitel	xô phi tên
sofyan	xô phi ần
sopin	xô pin
chopard	xô pát
chopin	xô pênh
soponwit	xô pôn uýt
sorento	xô ren tô
psoriasin	xô ri a xin
showroom	xô rum
shorea	xô rê a
shoretire	xô rê tai ơ
soroka	xô rô ca
social	xô sồ
sota	xô ta
sotaro	xô ta rô
salty	xô ti
sotoca	xô tô ca
sotogrande	xô tô gran đê
salton	xô tần
sovannara	xô van na ra
sauvage	xô vát
society	xô xai ơ ti
societe	xô xi ê tê
sociedad	xô xi ê đát
soyuncu	xô yun cu
soyuz	xô yút
soda	xô đa
sodium	xô đi um
showdo	xô đu
shoulder	xô đơ
sombrero	xôm brê rô
sommer	xôm mơ
solskjaer	xôn sa
soltanpour	xôn tan pua
shauntia	xôn ti a
songkla	xông cla
songkran	xông cran
sugba	xúc ba
suk-yeol	xúc diên
sooksawas	xúc xa oát
summit	xăm mít
summer	xăm mơ
summer-verse	xăm mơ vớt
sumner	xăm nơ
someone	xăm oan
champaign	xăm pên
something	xăm thinh
samsonova	xăm xô nô va
sunny	xăn ni
sultry	xăn tri
sundance	xăn đan
sunday	xăn đây
sunderland	xăn đơ lần
shankland	xăng clần
shangtang	xăng tang
sante	xăng tê
sanctous	xăng tốt
circana	xơ ca na
seocho	xơ chô
search	xơ chơ
circulation	xơ ciu lê xần
circle	xơ cần
Circle K	xơ cồ cây
surgical	xơ gi cần
surgery	xơ giơ ri
seohyeon	xơ hi un
skerki	xơ ki
shirley	xơ li
sirplus	xơ plớt
circuit	xơ quýt
surrey	xơ ri
schirmeck	xơ rim ếch
cirrhosis	xơ rô xít
seoulspace	xơ un xpê xơ
seong-kon	xơ ung con
sherwin	xơ uyn
survivors	xơ vai vơ
services	xơ vi xơ
servo	xơ vô
server	xơ vơ
served	xơ vờ
seosaeng	xơ xeng
schoenbrod	xơn brốt
seongnam	xơng nam
surbana	xưa ba na
surnalata	xưa na la ta
seung-je	xưng chê
seung-gyu	xưng ky u
changwu	xương vũ
saqqara	xắc ca ra
sakkari	xắc ca ri
shakked	xắc kết
saclay	xắc lê
sacramento	xắc ra men tô
shakhriyar	xắc ri ya
shakhtar	xắc ta
saxion	xắc xi on
succession	xắc xê xần
saxo	xắc xô
saxophone	xắc xô phôn
success	xắc xết
subscription	xắp críp xần
submariner	xắp ma ri nơ
submission	xắp mí xần
supply	xắp plai
supplier	xắp plai ơ
supper	xắp pơ
supperman	xắp pơ man
support	xắp pọt
subwas	xắp uai
subway	xắp uây
substack	xắp xtắc
sustainability	xắt tên na bi li ti
shutterstock	xắt tơ xtốc
sector	xếch tơ
shakespeare	xếch xpia
safety	xếp ti
shestakov	xết ta cốp
shetty	xết ti
setsuko	xết xu cô
sobanhang	xổ bán hàng
scandal	xờ can đồ
schanck	xờ canh
scarecrow	xờ ce crâu
schitco	xờ chít cô
szczesny	xờ chết xni
score	xờ co
skriniar	xờ cri ni a
scripps	xờ críp
scooter	xờ cu tơ
scudetto	xờ cu đét tô
sculley	xờ cun li
skazka	xờ cát ca
scol	xờ cô
circus	xờ cút
scandinavia	xờ căn đi na vi a
shih	xờ hờ
scare	xờ ke
scary	xờ ke ri
skeels	xờ kiêu
slaven	xờ la vần
schleif	xờ lai
schleimer	xờ lai mơ
slingback	xờ ling bắc
slav	xờ láp
sleek-can	xờ lích can
sleep	xờ líp
sleeping	xờ líp pinh
slack	xờ lắc
schmeichel	xờ mai chần
shmuel	xờ mu ên
small	xờ mô
smugglers	xờ măng gờ lơ
snare	xờ ne
schnell	xờ nen
snapchat	xờ náp chát
snowdrop	xờ nâu đrớp
snowdonia	xờ nâu đô ni a
sneak	xờ níc
snake	xờ nếch
spagnola	xờ pa ny ô la
sparrowhawk	xờ pa rô hốc
spencer	xờ pen xơ
sphyrna	xờ phi na
sfaxien	xờ phắc xi ên
spinelli	xờ pi ne li
spin	xờ pin
spinney	xờ pin ni
spindler	xờ pin đlơ
spin-off	xờ pin ốp
splendora	xờ plen đô ra
splash	xờ plát
split	xờ plít
split-shots	xờ plít xót
sprouse	xờ prau xơ
sprenger	xờ pren giơ
springs	xờ prin
sprinter	xờ prin tơ
spoons	xờ pun
spelling	xờ pê ling
spezia	xờ pê zi a
sponichi	xờ pô ni chi
sperm	xờ pơm
sparkling	xờ pắc ling
sprint	xờ pờ rin
spray	xờ pờ rây
spruce	xờ pờ rút
squat	xờ quát
square	xờ quê
squarespace	xờ quê xpê xơ
squid	xờ quýt
squad	xờ quắt
shrader	xờ ra đơ
schreinemacher	xờ rai nê ma chơ
shrine	xờ rain
shrimpton	xờ rim tần
srouji	xờ ru gi
shrestha	xờ rét tha
sre	xờ rê
schroeder	xờ rô đơ
schroepfer	xờ rốp phơ
struchkov	xờ trút cốp
swiatek	xờ vi on tếch
svitolina	xờ vi tô li na
svore	xờ vô
yaok	y ao kờ
yiling	y linh
yiziyang	y tử dương
yew	y u
eubanks	y u băng
eurocon	y u rô con
euroconsult	y u rô con xun
eurowings	y u rô uynh
yvelines	y vê lin
ysaline	y xa lin
yishi	y xi
yas	y át
yazdani	y át đa ni
yeh	y ê
yemen	y ê men
yeo	y ô
llorente	y ô ren tê
jyothi	y ô thi
yong	y ông
yeong-bong	y ông bông
yak	y ắc
yakabe	ya ca bê
yago	ya gô
yahya	ya hy a
yakisugi	ya ki xu ghi
yaly	ya li
yamagami	ya ma ga mi
yamagashi	ya ma ga xi
yamaha	ya ma ha
yamamoto	ya ma mô tô
yamanashia	ya ma na xi a
yamanouchi	ya ma nu chi
yamada	ya ma đa
yamoussoukro	ya mút xu crô
yamal	ya mần
yanagi	ya na ghi
yanely	ya nê li
ianenkov	ya nên cốp
yannick	ya ních
yano	ya nô
yarraji	ya ra gi
yaris	ya rít
yaroslav	ya rô xláp
yavuz	ya vút
yasir	ya xia
yashin	ya xin
yasutoshi	ya xu tô xi
yasui	ya xui
yaeyama	ya ê ya ma
yanbo	yan bô
yannawa	yan na oa
yanni	yan ni
yandex	yan đếch
yangzhu	yang chu
yangon	yang gun
yaoxing	yao xing
yellow	ye lô
yellowstone	ye lô xtôn
yellowstonecho	ye lô xtôn cho
yerson	ye xơn
yildirim	yin đi rim
yourself	yo xép
yondr	yon đơ
yorker	yoóc cơ
yorkshire	yoóc sai
yuanta	yu an ta
yubaba	yu ba ba
yuka	yu ca
yucatan	yu ca tan
yuko	yu cô
yuga	yu ga
yuji	yu gi
yuichi	yu i chi
yuichiro	yu i chi rô
yuki	yu ki
yukiko	yu ki cô
yukihiro	yu ki hi rô
yukio	yu ki ô
yulin	yu lin
yuni	yu ni
unibody	yu ni bo đi
yuriko	yu ri cô
eurypharynx	yu ri pha rinh
uric	yu rích
yurove	yu rô vê
utah	yu ta
youtiao	yu ti ao
yuto	yu tô
youtube	yu túp
yushchenko	yu xen cô
yuxian	yu xi an
yusuf	yu xúp
yuya	yu ya
yuzo	yu zô
yuewei	yu ê uê
yudhistira	yu đít ti ra
yasser	yát xơ
yeganeh	yê ga nê
yellen	yê lần
yeshua	yê su a
yonsei	yên xê
yoko	yô cô
yokohama	yô cô ha ma
yokosuka	yô cô xu ca
yokoyama	yô cô ya ma
yoga	yô ga
yo-jong	yô giông
yoghurt	yô gớt
yolanda	yô lan đa
yolo	yô lô
yonex	yô néch
yoshii	yô si
yoshimune	yô si mu nê
yoshinori	yô si nô ri
yoshioka	yô si ô ca
yoshua	yô su a
yoshikawa	yô xi ca oa
yoshikatsu	yô xi cắt xu
yoshimura	yô xi mu ra
yoshino	yô xi nô
yoshinoya	yô xi nô ya
yoshiwara	yô xi oa ra
yoshitomo	yô xi tô mô
yoshida	yô xi đa
yosef	yô xép
yosemita	yô xê mi ta
yosemite	yô xê mi ti
yong-ho	yông hô
yongsan-gu	yông xan gu
youssouf	yút xúp
yaccarino	yắc ca ri nô
yedlin	yết lin
yesterday	yết tơ đây
yedder	yết đơ
yoxon	yốc xơn
zvarych	z va rích
zakaria	za ca ri a
zachary	za cha ri
zakarpattia	za các pát ti a
zayed	za dết
zajac	za giắc
zagreb	za grếp
zaha	za ha
zahara	za ha ra
zakharova	za kha rô va
zala	za la
zaluzhny	za lu ni
zalewski	za lép xki
Zalo	za lô
ZaloPay	za lô pây
zamalek	za ma lếch
zamora	za mô ra
zafrul	za phrun
zapad	za pát
zaporizhzhia	za pô ri zi a
zaragoza	za ra gô za
zawe	za uê
xavier	za vi ê
zaicheng	zai cheng
xylitol	zai li tôn
xilinx	zai linh
zytee	zai ti
zionsville	zai ân vin
zaidi	zai đi
zeichner	zaic nơ
Zalo	zalo
ZaloPay	zalopay
zambia	zam bi a
zambratija	zam bra ti gia
zambry	zam bri
zamperla	zam pơ la
xanthin	zan thin
zandvoort	zan vốt
zaobao	zao bao
zephyrus	ze phi rút
zenbook	zen búc
zenji	zen gi
zelle	zen lờ
zenfone	zen phôn
zelda	zen đa
zendaya	zen đa ya
zhenyu	zhen yu
zhitel	zhi ten
zhuge	zhu ge
zhuravlev	zhu ráp li ếp
zhevago	zhê va gô
zhytomyr	zhơ tô mia
zia	zi a
zeaxanthin	zi a zan thin
zika	zi ca
ziqi	zi chi
ziconotide	zi cô nô tait
zicong	zi công
zeekr	zi cơ
siegemund	zi ghê mun
zihan	zi han
zealand	zi lần
zenas	zi nát
zineb	zi nép
zero	zi rô
zero-carbon	zi rô các bon
zero-day	zi rô đây
xerox	zi rốc
zitron	zi trôn
zscaler	zi xca lơ
ziyech	zi y ếch
zimbabwe	zim ba bu ê
zimmer	zim mơ
zimmermann	zim mơ mần
zimnisky	zim nít xki
zinchenko	zin chên cô
zinger	zin giơ
jingu	zin gu
zinder	zin đơ
zniti	zni ti
zuurbier	zu bi ơ
dzubinski	zu bin xki
zuka	zu ca
zulema	zu lê ma
zuleeg	zu lếch
zuni	zu ni
zoopla	zu pla
zurich	zu rích
zootopia	zu tô pi a
zwibel	zuai bờ
zumba	zum ba
zappacosta	záp pa cốt ta
zaslow	zát lô
zeppelin	zép pờ lin
zettler	zét lơ
zerbi	zê bi
zeqing	zê ching
zego	zê gô
zelenskycho	zê len xki cho
zelizer	zê li zơ
xenia	zê ni a
zenix	zê ních
zehra	zê ra
ziggy	zích ghi
ziplock	zíp lóc
zipper	zíp pơ
zojoji	zô giô gi
zoe	zô i
zollingeri	zô lin giê ri
zomi	zô mi
zona	zô na
zou	zô u
zoology	zô ô lô gi
zombie	zôm bi
zucchetti	zúc kết ti
zuppi	zúp pi
zernicka	zơ ních ca
zwinger	zơ oanh gơ
zvinchuk	zơ vin chúc
zvezda	zơ vết đa
zuckerbergchia	zắc cơ bớc chia
zuckerbergkhi	zắc cơ bớc khi
zoster	zốt xtơ
zbigniew	zờ bích ni ép
zlatan	zờ la tần
zvonareva	zờ vô na rê va
zdorovetskiy	zờ đô rô vét xki
asheville	á se vin
arbor	ác bo
arbeloa	ác bê lô a
arbovirus	ác bô vi rút
arkana	ác ca na
arcadis	ác ca đít
arkansas	ác can xa
account	ác cao
archa	ác cha
archayon	ác cha yôn
archello	ác chen lô
architectural	ác chi tếch chu rần
architecture	ác chi tếch chờ
arquitectos	ác chi tếch tốt
archewell	ác chê oen
archer	ác chờ
accor	ác co
accord	ác cọt
arga	ác ga
arginine	ác ghi nin
argyropelecus	ác gi rô pê lê cút
argen	ác gien
argentina	ác gien ti na
arjun	ác giun
arjen	ác giên
argentine	ác giên tain
argentinaghi	ác giên ti na ghi
argentinatrong	ác giên ti na trong
argon	ác gân
argonne	ác gôn
argus	ác gút
arkell	ác ken
archange	ác khan giơ
archimedes	ác ki mê đê
archaeological	ác ki ô lô gi cần
arlene	ác lin
armani	ác ma ni
armazones	ác ma zô nê
armada	ác ma đa
armin	ác min
armenio	ác mê ni ô
ahmedabah	ác mê đa ba
armando	ác măn đô
armour	ác mơ
arnau	ác nau
arne	ác nê
arnold	ác nôn
arnoldas	ác nôn đát
arpa	ác pa
arpan	ác pan
arpels	ác pen
akram	ác ram
arthur	ác thơ
activision	ác ti vi zhần
artelia	ác tê li a
artemenko	ác tê mên cô
artemis	ác tê mít
arteta	ác tê ta
artetaca	ác tê ta ca
artetathay	ác tê ta thay
artetatung	ác tê ta tùng
arctic	ác tích
active	ác típ
artist	ác tít
aksinia	ác xi ni a
aksyonov	ác xi ô nốp
axios	ác xi ốt
arcelormittal	ác xê lo mít tần
arsenalchi	ác xê nần chi
akzo	ác zô
arda	ác đa
ardoino	ác đôi nô
ardern	ác đơn
axiom	ách xi om
abby	áp bi
abbott	áp bốt
afghanistan	áp ga ni xtan
abhijeet	áp hi giết
abhishek	áp hi xếch
abkhazia	áp kha zi a
avnet	áp nét
affinis	áp phi nít
apply	áp plai
application	áp pli kê xần
appreciate	áp pri xi ết
appota	áp pô ta
appam	áp pầm
apple	áp pờ
applechia	áp pờ chia
applecho	áp pờ cho
appleinsider	áp pờ in xai đơ
applesau	áp pờ sau
aftatoxin	áp ta tô xin
aptera	áp tê ra
aptis	áp tít
aptomat	áp tô mát
after	áp tơ
aftermarket	áp tơ mác két
afternoon	áp tơ nun
afterschool	áp tơ xờ cun
afsluitdijk	áp xluit đai
absolute	áp xô lút
absence	áp xần
afzalov	áp za lốp
abdel	áp đen
abdi	áp đi
abdramane	áp đra man
abdullah	áp đu la
abdoulaye	áp đu la yê
abdusattorov	áp đu xát tô rốp
abdulaziz	áp đun a zít
abdulmajeed	áp đun ma giết
abdulrahman	áp đun rắt mần
abdulsalami	áp đun xa la mi
abderrazak	áp đê ra zắc
avdeevka	áp đê ép ca
abdollahian	áp đô la hi an
asghari	át ga ri
adjustment	át giát mần
adha	át ha
atkinson	át kin xơn
asllani	át la ni
atlanta	át lan ta
atlantico	át lan ti cô
ashlea	át li a
athleisure	át li zhơ
atlasobscura	át lát ốp xi cu ra
addleshaw	át lê sô
atletico	át lê ti cô
atlantic	át lăn tích
atlantis	át lăn tít
adler	át lơ
asmail	át mai
admiral	át mi rần
admin	át min
admixture	át mích chờ
aswini	át oai ni
atwell	át oen
aswan	át oăn
asparouhov	át pa ru hốp
azpilicueta	át pi li cu ê ta
aspirin	át pi rin
aspide	át pi đê
aspartame	át pát tam
aspergillus	át pơ gi lút
aspen	át pần
aspects	át pếch
ashrita	át ri ta
asscher	át sơ
astana	át ta na
attention	át ten xần
attendance	át ten đần
attila	át ti la
artificial	át ti phi xần
attrage	át tra giơ
attreyee	át trê di
astrid	át trít
astronomy	át trô nô mi
astronomical	át trô nô mi cần
astronaut	át trô nốt
astrophysical	át trô phi zi cần
astrophysics	át trô phi zích
astrostrom	át trô xtrôm
attraction	át trắc xần
asturias	át tu ri át
asterix	át tê rích
atto	át tô
astoria	át tô ri a
astor	át tơ
atteberry	át tơ be ri
aston	át tơn
attom	át tầm
attenborough	át tần bo rơ
attack	át tắc
aztec	át tếch
artworks	át uốc
advent	át ven
advocacy	át vô ca xi
advances	át văn xơ
advertising	át vơ tai zinh
asciano	át xi a nô
assmi	át xmi
assoumani	át xu ma ni
assad	át xát
assessment	át xét mần
adsota	át xô ta
ask	át xờ cơ
archdaily	át đê li
uncertainty	ân xơ tần ti
eurasia	âu ra xi a
aurea	âu rê a
eurozone	âu rô giôn
euromonitor	âu rô mô ni tơ
euronews	âu rô niu
european	âu rô pi ần
europol	âu rô pôn
eurostat	âu rô xtát
automotive	âu tô mô típ
audition	âu đi xần
audio	âu đi ô
audience	âu đi ần
AI	ây ai
API	ây pi ai
avon	ây vần
eysan	ây xan
ayers	ây ơ
echos	éc cô
ergo	éc gô
hermes	éc mét
erdogan	éc đô gần
FPT	ép pi ti
FPT	ép pê tê
FPT	ép pờ tê
epstein-barr	ép xtain ba
epsom	ép xầm
esmee	ét mê
edmondson	ét mần xơn
aespa	ét pa
esfandiary	ét phan đi a ri
espresso	ét pre xô
estella	ét ten la
esther	ét thơ
strv	ét trờ vê
estonia	ét tô ni a
edwin	ét uyn
edward	ét uốt
essen	ét xen
essig	ét xích
aicd	ê ai xi đê
eibar	ê ba
ebeling	ê be lin
ebiri	ê bi ri
ebimbe	ê bim bê
ebinger	ê bin giơ
ebenezer	ê bê nê zơ
ebos	ê bốt
echus	ê chút
eucuador	ê cu a đo
ecuador	ê cu a đô
ekelund	ê cê lần
e-coli	ê cô li
ecology	ê cô lô gi
economica	ê cô nô mi ca
economics	ê cô nô mích
ecopark	ê cô pác
ecovillage	ê cô vi lết
ecovacs	ê cô vắc
ecoaction	ê cô ắc xần
egay	ê gay
aging	ê ghinh
eagen	ê ghên
aegean	ê gi ần
agency	ê giên xi
egor	ê go
egroup	ê grúp
egress	ê grết
eguren	ê gu ren
ehime	ê hi mê
eisuke	ê i xu kê
ekitike	ê ki ti kê
ekip	ê kíp
elantra	ê lan tra
e-land	ê len
eliasof	ê li a xốp
elina	ê li na
